# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Feb 15 22:00:38 2020
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_telescope:   Discovery Telescope
# COLUMN pl_instrument:  Discovery Instrument
# COLUMN pl_pelink:      Link to Exoplanet Encyclopaedia
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
#
pl_name,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_telescope,pl_instrument,pl_pelink,st_age,st_ageerr1,st_ageerr2,st_agelim
30 Ari B b,1,335.10001000,2.50000000,-2.50000000,0,44.71,0.10,-0.10,0,6331.00,61.00,-61.00,0,1.93,0.27,-0.27,0,1.41,0.05,-0.05,0,,,,0,,,,0,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,http://exoplanet.eu/catalog/30_ari_b_b/,,,,0
4 UMa b,1,269.30000000,1.96000000,-1.96000000,0,73.58,1.18,-1.18,0,4415.00,70.00,-70.00,0,1.23,0.15,-0.15,0,18.11,1.47,-1.47,0,,,,,,,,,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,http://exoplanet.eu/catalog/4_uma_b/,4.604,2.000,-2.000,
42 Dra b,1,479.10000000,6.20000000,-6.20000000,0,90.86,1.32,-1.32,0,4200.00,70.00,-70.00,0,0.98,0.05,-0.05,0,22.03,1.00,-1.00,0,,,,,,,,,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,http://exoplanet.eu/catalog/42_dra_b/,9.490,1.760,-1.760,
47 UMa b,3,1078.00000000,2.00000000,-2.00000000,0,13.80,0.03,-0.03,0,5892.00,70.00,-70.00,0,1.03,0.05,-0.05,0,1.23,,,0,,,,,,,,,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,http://exoplanet.eu/catalog/47_uma_b/,7.300,1.900,-1.900,
47 UMa c,3,2391.00000000,100.00000000,-87.00000000,0,13.80,0.03,-0.03,0,5892.00,70.00,-70.00,0,1.03,0.05,-0.05,0,1.23,,,0,,,,,,,,,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,http://exoplanet.eu/catalog/47_uma_c/,7.300,1.900,-1.900,
47 UMa d,3,14002.00000000,4018.00000000,-5095.00000000,0,13.80,0.03,-0.03,0,5892.00,70.00,-70.00,0,1.03,0.05,-0.05,0,1.23,,,0,,,,,,,,,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,http://exoplanet.eu/catalog/47_uma_d/,7.300,1.900,-1.900,
51 Eri b,1,11688.00000000,6209.25000000,-3287.25000000,0,29.40,0.30,-0.30,0,,,,,1.75,0.05,-0.05,0,,,,,,,,0,,,,0,8.19 m Gemini South Telescope,Gemini Planet Imager,http://exoplanet.eu/catalog/51_eri_b/,0.020,0.006,-0.006,
51 Peg b,1,4.23078500,0.00003600,-0.00003600,0,15.47,0.03,-0.03,0,5793.00,70.00,-70.00,0,1.12,0.06,-0.06,0,1.20,,,0,,,,,,,,,1.93 m Telescope,ELODIE Spectrograph,http://exoplanet.eu/catalog/51_peg_b/,4.000,2.500,-2.500,
55 Cnc b,5,14.65152000,0.00015000,-0.00015000,0,12.59,0.01,-0.01,0,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,,,,,,,,,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,http://exoplanet.eu/catalog/55_cnc_b/,10.200,2.500,-2.500,
55 Cnc c,5,44.41750000,0.00730000,-0.00730000,0,12.59,0.01,-0.01,0,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,,,,,,,,,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,http://exoplanet.eu/catalog/55_cnc_c/,10.200,2.500,-2.500,
55 Cnc d,5,4825.00000000,39.00000000,-39.00000000,0,12.59,0.01,-0.01,0,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,,,,,,,,,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,http://exoplanet.eu/catalog/55_cnc_d/,10.200,2.500,-2.500,
55 Cnc e,5,0.73653900,0.00000700,-0.00000700,0,12.59,0.01,-0.01,0,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,,,,0,1.910,0.080,-0.080,0,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,http://exoplanet.eu/catalog/55_cnc_e/,10.200,2.500,-2.500,
55 Cnc f,5,262.00000000,0.51000000,-0.51000000,0,12.59,0.01,-0.01,0,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,,,,,,,,,Multiple Telescopes,Multiple Instruments,http://exoplanet.eu/catalog/55_cnc_f/,10.200,2.500,-2.500,
6 Lyn b,1,934.30000000,8.60000000,-8.60000000,0,54.74,0.27,-0.27,0,4938.00,,,0,1.44,,,0,5.20,,,0,,,,0,,,,,1.88 m Telescope,HIDES Echelle Spectrograph,http://exoplanet.eu/catalog/6_lyn_b/,,,,0
61 Vir b,3,4.21500000,0.00060000,-0.00060000,0,8.51,0.02,-0.02,0,5577.00,33.00,-33.00,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,,,,,,,,,Multiple Telescopes,Multiple Instruments,http://exoplanet.eu/catalog/61_vir_b/,8.960,2.760,-3.080,
61 Vir c,3,38.02100000,0.03400000,-0.03400000,0,8.51,0.02,-0.02,0,5577.00,33.00,-33.00,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,,,,,,,,,Multiple Telescopes,Multiple Instruments,http://exoplanet.eu/catalog/61_vir_c/,8.960,2.760,-3.080,
61 Vir d,3,123.01000000,0.55000000,-0.55000000,0,8.51,0.02,-0.02,0,5577.00,33.00,-33.00,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,,,,,,,,,Multiple Telescopes,Multiple Instruments,http://exoplanet.eu/catalog/61_vir_d/,8.960,2.760,-3.080,
7 CMa b,2,735.10000000,14.80000000,-1.00000000,0,19.82,0.16,-0.16,0,4826.00,45.00,-55.00,0,1.34,0.11,-0.12,0,4.87,0.17,-0.14,0,,,,0,,,,0,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,http://exoplanet.eu/catalog/7_cma_b/,4.300,0.900,-1.300,0
7 CMa c,2,996.00000000,1.50000000,-52.40000000,0,19.82,0.16,-0.16,0,4826.00,45.00,-55.00,0,1.34,0.11,-0.12,0,4.87,0.17,-0.14,0,,,,0,,,,0,Multiple Telescopes,Multiple Instruments,http://exoplanet.eu/catalog/7_cma_c/,4.300,0.900,-1.300,0
70 Vir b,1,116.68800000,0.00540000,-0.00540000,0,17.91,0.06,-0.06,0,5495.00,,,0,1.09,,,0,1.89,,,0,,,,0,,,,,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,http://exoplanet.eu/catalog/70_vir_b/,,,,0
75 Cet b,1,691.90000000,3.60000000,-3.60000000,0,83.15,0.72,-0.72,0,4846.00,18.00,-18.00,0,2.49,0.02,-0.27,0,10.50,1.00,-1.00,0,,,,,,,,,1.88 m Telescope,HIDES Echelle Spectrograph,http://exoplanet.eu/catalog/75_cet_b/,,,,
8 UMi b,1,93.40000000,4.50000000,-4.50000000,0,163.32,0.65,-0.65,0,4847.00,7.00,-7.00,0,1.44,0.19,-0.19,0,10.30,0.57,-0.57,0,,,,0,,,,0,1.8 m Telescope,BOES Echelle Spectrograph,http://exoplanet.eu/catalog/8_umi_b/,,,,0
81 Cet b,1,952.70000000,8.80000000,-8.80000000,0,101.53,1.22,-1.22,0,4785.00,25.00,-25.00,0,2.40,0.10,-0.40,0,11.00,2.00,-1.00,0,,,,,,,,,1.88 m Telescope,HIDES Echelle Spectrograph,http://exoplanet.eu/catalog/81_cet_b/,,,,
91 Aqr b,1,181.40000000,0.10000000,-0.10000000,0,44.08,0.51,-0.51,0,4665.00,18.00,-18.00,0,1.40,0.10,-0.10,0,11.00,0.10,-0.10,0,,,,,,,,,0.6 m Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,http://exoplanet.eu/catalog/91_aqr_b/,3.560,0.630,-0.630,
AB Pic b,1,,,,,50.12,0.07,-0.07,0,,,,,,,,,,,,,,,,,,,,,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,http://exoplanet.eu/catalog/ab_pic_b/,0.030,,,
BD+03 2562 b,1,481.90000000,2.70000000,-2.80000000,0,2618.00,564.00,-564.00,0,4095.00,20.00,-20.00,0,1.14,0.25,-0.25,0,32.35,8.82,-8.82,0,,,,,,,,,Multiple Telescopes,Multiple Instruments,,5.200,4.750,-2.750,
BD+14 4559 b,1,268.94000000,0.99000000,-0.99000000,0,49.42,0.08,-0.08,0,4864.00,101.00,-101.00,0,0.49,0.33,-0.33,0,0.86,0.04,-0.04,0,,,,0,,,,0,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,http://exoplanet.eu/catalog/bd%2B14_4559_b/,,,,0
BD+15 2375 b,1,153.22000000,0.44000000,-0.44000000,0,774.00,165.00,-165.00,0,4649.00,30.00,-30.00,0,1.08,0.14,-0.14,0,8.95,1.45,-1.45,0,,,,,,,,,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,http://exoplanet.eu/catalog/bd%2B15_2375_b/,7.410,3.810,-2.520,
BD+15 2940 b,1,137.48000000,0.34000000,-0.34000000,0,431.61,6.55,-6.55,0,4796.00,117.00,-117.00,0,1.10,0.20,-0.20,0,14.70,2.80,-2.80,0,,,,,,,,,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,http://exoplanet.eu/catalog/bd+15_2940_b/,7.100,4.200,-4.200,
BD+20 2457 b,2,379.63000000,2.00000000,-2.00000000,0,1670.85,222.63,-222.63,0,4259.00,64.00,-64.00,0,10.83,22.96,-22.96,0,71.02,73.63,-73.63,0,,,,0,,,,0,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,http://exoplanet.eu/catalog/bd%2B20_2457_b/,,,,0
BD+20 2457 c,2,621.99000000,10.20000000,-10.20000000,0,1670.85,222.63,-222.63,0,4259.00,64.00,-64.00,0,10.83,22.96,-22.96,0,71.02,73.63,-73.63,0,,,,,,,,,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,http://exoplanet.eu/catalog/bd%2B20_2457_c/,,,,0
BD+20 274 b,1,578.20000000,5.40000000,-5.40000000,0,1383.85,86.64,-86.64,0,4296.00,10.00,-10.00,0,0.80,0.20,-0.20,0,17.30,0.90,-0.90,0,,,,,,,,,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,http://exoplanet.eu/catalog/bd+20_274_c/,,,,
BD+20 594 b,1,41.68550000,0.00300000,-0.00300000,0,180.39,1.25,-1.25,0,5766.00,99.00,-99.00,0,1.67,0.40,-0.40,0,1.08,0.06,-0.06,0,,,,0,2.578,0.112,-0.112,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/bd%2B20_594_b/,,,,0
BD+48 738 b,1,392.60000000,5.50000000,-5.50000000,0,892.17,44.78,-44.78,0,4414.00,15.00,-15.00,0,0.74,0.39,-0.39,0,11.00,1.00,-1.00,0,,,,,,,,,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,http://exoplanet.eu/catalog/bd%2B48_738_b/,,,,
BD+48 740 b,1,733.00000000,5.00000000,-8.00000000,0,678.94,22.15,-22.15,0,4534.00,8.00,-8.00,0,1.09,0.16,-0.16,0,10.33,1.81,-1.81,0,,,,0,,,,0,Multiple Telescopes,Multiple Instuments,,,,,0
BD+49 828 b,1,2590.00000000,300.00000000,-180.00000000,0,447.59,7.79,-7.79,0,4943.00,30.00,-30.00,0,1.52,0.22,-0.22,0,7.60,1.30,-1.30,0,,,,,,,,,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,http://exoplanet.eu/catalog/bd%2B49_828_b/,2.340,1.200,-0.800,
BD-06 1339 b,2,3.87280000,0.00040000,-0.00040000,0,20.28,0.02,-0.02,0,4324.00,100.00,-100.00,0,0.70,,,0,,,,,,,,,,,,,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/bd-06_1339_b/,4.400,4.000,-4.000,
BD-06 1339 c,2,125.94000000,0.44000000,-0.44000000,0,20.28,0.02,-0.02,0,4324.00,100.00,-100.00,0,0.70,,,0,,,,,,,,,,,,,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/bd-06_1339_c/,4.400,4.000,-4.000,
BD-08 2823 b,2,5.60000000,0.02000000,-0.02000000,0,41.38,0.07,-0.07,0,4816.00,114.00,-114.00,0,0.50,0.26,-0.26,0,0.71,0.04,-0.04,0,,,,0,,,,0,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/bd-08_2823_b/,,,,0
BD-08 2823 c,2,237.60000000,1.50000000,-1.50000000,0,41.38,0.07,-0.07,0,4816.00,114.00,-114.00,0,0.50,0.26,-0.26,0,0.71,0.04,-0.04,0,,,,,,,,,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/bd-08_2823_c/,,,,0
BD-10 3166 b,1,3.48777000,0.00011000,-0.00011000,0,84.61,0.35,-0.35,0,5393.00,44.00,-44.00,0,1.47,0.24,-0.24,0,0.91,0.04,-0.04,0,,,,0,,,,0,10 m Keck I Telescope,HIRES Spectrometer,http://exoplanet.eu/catalog/bd-10_3166_b/,,,,0
BD-11 4672 b,1,1667.00000000,33.00000000,-31.00000000,0,27.30,,,0,4475.00,100.00,-100.00,0,0.57,0.01,-0.01,0,0.52,0.02,-0.02,0,,,,,,,,,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/bd-11_4672_b/,4.400,4.000,-4.000,
BD-13 2130 b,1,714.29999000,5.30000000,-5.30000000,0,948.75,42.93,-42.93,0,4545.00,71.00,-71.00,0,2.12,1.47,-1.47,0,19.17,4.96,-4.96,0,,,,0,,,,0,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,http://exoplanet.eu/catalog/ngc_2423_3_b/,,,,0
BD-17 63 b,1,655.60000000,0.60000000,-0.60000000,0,34.49,0.09,-0.09,0,4714.00,93.00,-93.00,0,0.74,0.03,-0.03,0,0.69,,,0,,,,,,,,,3.6 m ESO Telescope,HARPS Spectrograph,http://exoplanet.eu/catalog/bd-17_63_b/,4.300,4.000,-4.000,
CFBDSIR J145829+101343 b,1,10037.50000000,2737.50000000,-2737.50000000,0,23.10,2.40,-2.40,0,580.50,24.50,-24.50,0,0.02,0.01,-0.01,0,,,,,370,40,-40,0,,,,,10 m Keck II Telescope,NIRC2 Camera,http://exoplanet.eu/catalog/cfbds_1458_a/,,,,
CHXR 73 b,1,,,,,191.05,6.42,-6.42,0,,,,,0.35,,,0,,,,,,,,,,,,,2.4 m Hubble Space Telescope,ACS Camera,http://exoplanet.eu/catalog/chxr_73_b/,0.002,,,
CI Tau b,1,8.98910000,0.02020000,-0.02020000,0,158.00,1.20,-1.20,0,,,,0,0.90,0.02,-0.02,0,,,,0,,,,0,,,,0,Multiple Telescopes,IGRINS Spectrometer,http://exoplanet.eu/catalog/ci_tau_b/,0.003,0.001,-0.001,0
CT Cha b,1,,,,,165.00,30.00,-30.00,0,,,,,,,,,,,,,2600,250,-250,0,24.660,9.080,-6.730,0,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,http://exoplanet.eu/catalog/ct_cha_b/,0.002,0.002,-0.002,
CoRoT-1 b,1,1.50895570,0.00000640,-0.00000640,0,805.31,24.33,-24.33,0,5950.00,150.00,-150.00,0,0.95,0.15,-0.15,0,1.11,0.05,-0.05,0,1898,50,-50,0,16.700,0.900,-0.900,0,0.27 m CoRoT Telescope,CoRoT CCD Array,http://exoplanet.eu/catalog/corot-1_b/,,,,
CoRoT-10 b,1,13.24060000,0.00020000,-0.00020000,0,345.00,70.00,-70.00,0,5075.00,75.00,-75.00,0,0.89,0.05,-0.05,0,0.79,0.05,-0.05,0,600,23,-23,0,10.870,0.780,-0.780,0,0.27 m CoRoT Telescope,CoRoT CCD Array,http://exoplanet.eu/catalog/corot-10_b/,3.000,,,
CoRoT-11 b,1,2.99433000,0.00001100,-0.00001100,0,560.00,30.00,-30.00,0,6440.00,120.00,-120.00,0,1.27,0.05,-0.05,0,1.37,0.03,-0.03,0,1657,55,-55,0,16.030,0.340,-0.340,0,0.27 m CoRoT Telescope,CoRoT CCD Array,http://exoplanet.eu/catalog/corot-11_b/,2.000,1.000,-1.000,
CoRoT-12 b,1,2.82804200,0.00001300,-0.00001300,0,1150.00,85.00,-85.00,0,5675.00,80.00,-80.00,0,1.08,0.08,-0.07,0,1.12,0.10,-0.09,0,1442,58,-58,0,16.140,1.460,-1.460,0,0.27 m CoRoT Telescope,CoRoT CCD Array,http://exoplanet.eu/catalog/corot-12_b/,6.300,3.100,-3.100,
CoRoT-13 b,1,4.03519000,0.00003000,-0.00003000,0,1060.00,100.00,-100.00,0,5945.00,90.00,-90.00,0,1.09,0.02,-0.02,0,1.01,0.03,-0.03,0,1700,,,0,9.920,0.157,-0.157,0,0.27 m CoRoT Telescope,CoRoT CCD Array,http://exoplanet.eu/catalog/corot-13_b/,1.635,1.515,-1.515,
